Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,GVreviewed,SDJreviewed
Grant,Sierra,Birkhofer,Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands,FRONTIERS IN ECOLOGY AND EVOLUTION,2016,TRUE,FALSE
Grant,Sierra,Bru,Determinants of the distribution of nitrogen-cycling microbial communities at the landscape scale,ISME JOURNAL,2011,TRUE,FALSE
Grant,Sierra,Cimon-Morin,Towards systematic conservation planning adapted to the local flow of ecosystem services,GLOBAL ECOLOGY AND CONSERVATION,2014,TRUE,FALSE
Grant,Sierra,Elbakidze,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,LANDSCAPE AND URBAN PLANNING,2017,TRUE,FALSE
Grant,Sierra,Euliss,Integrating estimates of ecosystem services from conservation programs and practices into models for decision makers,ECOLOGICAL APPLICATIONS,2011,TRUE,FALSE
Grant,Sierra,Kraemer,Global patterns in lake ecosystem responses to warming based on the temperature dependence of metabolism,GLOBAL CHANGE BIOLOGY,2017,FALSE,FALSE
Grant,Sierra,Lopez-Santiago,Using visual stimuli to explore the social perceptions of ecosystem services in cultural landscapes: the case of transhumance in Mediterranean Spain,ECOLOGY AND SOCIETY,2014,FALSE,FALSE
Grant,Sierra,Mitchell,Forest fragments modulate the provision of multiple ecosystem services,JOURNAL OF APPLIED ECOLOGY,2014,FALSE,FALSE
Grant,Sierra,Moniem,Habitat connectivity for pollinator beetles using surface metrics,LANDSCAPE ECOLOGY,2013,FALSE,FALSE
Grant,Sierra,Nicholson,Farm and landscape factors interact to affect the supply of pollination services,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Grant,Sierra,Poulsen,Ecological erosion of an Afrotropical forest and potential consequences for tree recruitment and forest biomass,BIOLOGICAL CONSERVATION,2013,FALSE,FALSE
Grant,Sierra,Reynolds,Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl,BASIC AND APPLIED ECOLOGY,2016,FALSE,FALSE
Grant,Sierra,Roy,Transient Social-Ecological Stability: the Effects of Invasive Species and Ecosystem Restoration on Nutrient Management Compromise in Lake Erie,ECOLOGY AND SOCIETY,2010,FALSE,FALSE
Grant,Sierra,Schindler,Multifunctionality of floodplain landscapes: relating management options to ecosystem services,LANDSCAPE ECOLOGY,2014,FALSE,FALSE
Sierra,Grant,Angeler,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,ECOLOGY AND SOCIETY,2017,TRUE,TRUE
Sierra,Grant,Garratt,Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems,ECOSYSTEMS,2018,FALSE,TRUE
Sierra,Grant,Genung,The relative importance of pollinator abundance and species richness for the temporal variance of pollination services,ECOLOGY,2017,FALSE,TRUE
Sierra,Grant,Lundholm,Green roof plant species diversity improves ecosystem multifunctionality,JOURNAL OF APPLIED ECOLOGY,2015,FALSE,FALSE
Sierra,Grant,Melbourne-Thomas,Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system,ECOLOGICAL APPLICATIONS,2011,FALSE,FALSE
Sierra,Grant,Mitchell,Landscape structure influences urban vegetation vertical structure,JOURNAL OF APPLIED ECOLOGY,2016,FALSE,FALSE
Sierra,Grant,Monagan,Anolis lizards as biocontrol agents in mainland and island agroecosystems,ECOLOGY AND EVOLUTION,2017,FALSE,FALSE
Sierra,Grant,Moores,Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems,ECOLOGY AND SOCIETY,2017,FALSE,FALSE
Sierra,Grant,Pearse,"Homogenization of plant diversity, composition, and structure in North American urban yards",ECOSPHERE,2018,FALSE,FALSE
Sierra,Grant,Robertson,Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,WILDLIFE BIOLOGY,2017,FALSE,FALSE
Sierra,Grant,Solomou,Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,JOURNAL OF NATURAL HISTORY,2019,FALSE,FALSE
Sierra,Grant,Staes,Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,ECOSYSTEM SERVICES,2017,FALSE,FALSE
Sierra,Grant,Traveset,Effects of habitat loss on the plant-flower visitor network structure of a dune community,OIKOS,2018,FALSE,FALSE
Sierra,Grant,White,Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses,JOURNAL OF APPLIED ECOLOGY,2019,FALSE,FALSE
