Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,LDreviewed,NBDreviewed
Laura,Nick,Deacon,From species to communities: the signature of recreational use on a tropical river ecosystem,ECOLOGY AND EVOLUTION,2015,TRUE,TRUE
Laura,Nick,Drewes,"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation",ECOLOGICAL MODELLING,2012,TRUE,FALSE
Laura,Nick,Elands,Policy interpretations and manifestation of biocultural diversity in urbanized Europe: conservation of lived biodiversity,BIODIVERSITY AND CONSERVATION,2015,TRUE,TRUE
Laura,Nick,Gagic,Additive and interactive effects of pollination and biological pest control on crop yield,JOURNAL OF APPLIED ECOLOGY,2019,TRUE,FALSE
Laura,Nick,Hanberry,Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2015,TRUE,FALSE
Laura,Nick,Jiang,"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications",ECOLOGICAL ENGINEERING,2016,TRUE,FALSE
Laura,Nick,Jiang,"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration",ECOLOGICAL ENGINEERING,2016,FALSE,FALSE
Laura,Nick,Le Clec'h,From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon,ECOSYSTEMS,2018,FALSE,FALSE
Laura,Nick,Luis Peri,Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,JOURNAL FOR NATURE CONSERVATION,2016,FALSE,FALSE
Laura,Nick,Saturni,Landscape structure influences bee community and coffee pollination at different spatial scales,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,FALSE,FALSE
Laura,Nick,Siwicka,Linking changes in species-trait relationships and ecosystem function using a network analysis of traits,ECOLOGICAL APPLICATIONS,NA,FALSE,FALSE
Laura,Nick,Teixeira,Farmers show complex and contrasting perceptions on ecosystem services and their management,ECOSYSTEM SERVICES,2018,FALSE,FALSE
Laura,Nick,Tschumi,"Perennial, species-rich wildflower strips enhance pest control and crop yield",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,FALSE,FALSE
Laura,Nick,Wu,Restoration of ecosystem carbon and nitrogen storage and microbial biomass after grazing exclusion in semi-arid grasslands of Inner Mongolia,ECOLOGICAL ENGINEERING,2014,FALSE,FALSE
Nick,Laura,Almeida,The effects of oil palm plantations on the functional diversity of Amazonian birds,JOURNAL OF TROPICAL ECOLOGY,2016,TRUE,TRUE
Nick,Laura,Baulechner,Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,BIOLOGICAL CONSERVATION,2019,FALSE,TRUE
Nick,Laura,Delgado,"Provision of ecosystem services by the Aysen watershed, Chilean Patagonia, to rural households",ECOSYSTEM SERVICES,2013,FALSE,FALSE
Nick,Laura,Donoso,Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,LANDSCAPE ECOLOGY,2014,FALSE,FALSE
Nick,Laura,Egerer,Cityscape quality and resource manipulation affect natural enemy biodiversity in and fidelity to urban agroecosystems,LANDSCAPE ECOLOGY,2018,FALSE,FALSE
Nick,Laura,Ikin,Avian functional responses to landscape recovery,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,FALSE,FALSE
Nick,Laura,Kujala,Not all data are equal: Influence of data type and amount in spatial conservation prioritisation,METHODS IN ECOLOGY AND EVOLUTION,2018,TRUE,TRUE
Nick,Laura,Meineke,Urban warming reduces aboveground carbon storage,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016,FALSE,FALSE
Nick,Laura,Onorevole,Living shorelines enhance nitrogen removal capacity over time,ECOLOGICAL ENGINEERING,2018,FALSE,FALSE
Nick,Laura,Rivest,Tree communities rapidly alter soil microbial resistance and resilience to drought,FUNCTIONAL ECOLOGY,2015,FALSE,FALSE
Nick,Laura,van Strien,"Models of Coupled Settlement and Habitat Networks for Biodiversity Conservation: Conceptual Framework, Implementation and Potential Applications",FRONTIERS IN ECOLOGY AND EVOLUTION,2018,TRUE,FALSE
Nick,Laura,Wagner,Temporal changes in the abiotic/biotic drivers of selfpurification in a temperate river,ECOLOGICAL ENGINEERING,2016,FALSE,FALSE
Nick,Laura,Zhang,"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2019,FALSE,FALSE
Nick,Laura,Zucchi,Genetic diversity of reintroduced tree populations in restoration plantations of the Brazilian Atlantic Forest,RESTORATION ECOLOGY,2018,TRUE,FALSE
