Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,CWreviewed,LBreviewed
Caitlin,Laurel,Albrecht,The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,JOURNAL OF APPLIED ECOLOGY,2007,TRUE,FALSE
Caitlin,Laurel,Amosse,"Patterns of earthworm, enchytraeid and nematode diversity and community structure in urban soils of different ages",EUROPEAN JOURNAL OF SOIL BIOLOGY,2016,TRUE,FALSE
Caitlin,Laurel,Asner,Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,BIOLOGICAL INVASIONS,2010,TRUE,FALSE
Caitlin,Laurel,Beumer,"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability",URBAN ECOSYSTEMS,2016,FALSE,FALSE
Caitlin,Laurel,Breland,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,ECOSPHERE,2018,TRUE,FALSE
Caitlin,Laurel,Dubois,Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,ECOSYSTEMS,2019,TRUE,FALSE
Caitlin,Laurel,Ford,Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012,TRUE,FALSE
Caitlin,Laurel,Jiang,"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation",ECOLOGICAL ENGINEERING,2019,TRUE,FALSE
Caitlin,Laurel,Jones,Organic farming promotes biotic resistance to foodborne human pathogens,JOURNAL OF APPLIED ECOLOGY,2019,TRUE,FALSE
Caitlin,Laurel,Kline,"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape",ECOLOGICAL APPLICATIONS,2016,TRUE,FALSE
Caitlin,Laurel,Petrie,"Regional trends and local variability in monsoon precipitation in the northern Chihuahuan Desert, USA",JOURNAL OF ARID ENVIRONMENTS,2014,TRUE,FALSE
Caitlin,Laurel,Schulz,Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile,ECOSPHERE,2017,TRUE,FALSE
Caitlin,Laurel,Thiault,Mapping social-ecological vulnerability to inform local decision making,CONSERVATION BIOLOGY,2018,TRUE,FALSE
Caitlin,Laurel,Truchy,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",LANDSCAPE ECOLOGY,2019,TRUE,FALSE
Laurel,Caitlin,Bouraoui,Deicing Salt Pollution Affects the Foliar Traits and Arthropods' Biodiversity of Lime Trees in Riga's Street Greeneries,FRONTIERS IN ECOLOGY AND EVOLUTION,2019,FALSE,TRUE
Laurel,Caitlin,Brunori,Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,FALSE,TRUE
Laurel,Caitlin,Cordingley,Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,JOURNAL OF APPLIED ECOLOGY,2016,FALSE,TRUE
Laurel,Caitlin,Dennis,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,LANDSCAPE AND URBAN PLANNING,2017,FALSE,TRUE
Laurel,Caitlin,Eigenbrod,The impact of projected increases in urbanization on ecosystem services,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011,FALSE,TRUE
Laurel,Caitlin,Hautier,Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality,NATURE ECOLOGY & EVOLUTION,2018,FALSE,TRUE
Laurel,Caitlin,Kachenchart,Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012,FALSE,TRUE
Laurel,Caitlin,Kennedy,A global quantitative synthesis of local and landscape effects on wild bee pollinators in agroecosystems,ECOLOGY LETTERS,2013,FALSE,TRUE
Laurel,Caitlin,Larson,Major histocompatibility complex diversity is positively associated with stream water temperatures in proximate populations of sockeye salmon,JOURNAL OF EVOLUTIONARY BIOLOGY,2016,FALSE,TRUE
Laurel,Caitlin,Liang,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,JOURNAL OF LAND USE SCIENCE,2017,FALSE,TRUE
Laurel,Caitlin,Mueller,'Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,LANDSCAPE AND URBAN PLANNING,2018,FALSE,TRUE
Laurel,Caitlin,Robinson,Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest,BIODIVERSITY AND CONSERVATION,2015,FALSE,TRUE
Laurel,Caitlin,Werling,Local and broadscale landscape structure differentially impact predation of two potato pests,ECOLOGICAL APPLICATIONS,2010,FALSE,FALSE
Laurel,Caitlin,Xie,Ecosystem multifunctionality is highly related to the shelterbelt structure and plant species diversity in mixed shelterbelts of eastern China,GLOBAL ECOLOGY AND CONSERVATION,2018,FALSE,FALSE
